"","personid","yob","sex","edu","childincomecompare","adultincome","y92_simscore","y04_letterflu","y04_catflu","y04_simscore","y04_digit","y04_imrecall","y11_remember","y11_solve","y11_letterflu","y11_catflu","y11_digit","y11_imrecall","y04_involvechar","y04_involveorgs","y04_volrarelythink","y04_volloss","y04_volselfimport","y04_involvehobby","y04_involveinstru10","y04_involveinstru35"
"322",901076,39,1,-2,4,45900,8,-2,-2,8,-2,-2,1,1,7,-2,-2,-2,2,2,7,4,5,2,-3,-3
"323",901077,39,2,-2,3,75600,4,-2,-2,3,-2,-2,1,1,14,-2,-2,-2,1,1,1,2,7,3,3,3
"324",901078,39,1,-2,3,98000,4,12,21,6,6,6,1,1,11,24,5,5,3,1,4,4,2,4,3,3
"326",901088,39,2,-2,3,60500,6,14,20,6,9,7,2,1,16,18,9,6,4,1,7,3,5,1,3,3
"328",901105,39,2,3,4,70000,13,-2,-2,9,-2,-2,1,1,12,-2,-2,-2,2,1,4,2,4,1,3,3
"329",901106,39,2,-2,3,72000,12,-3,-3,-4,6,8,1,1,8,21,4,5,1,3,6,4,5,1,3,3
"330",901111,39,2,-2,4,57500,11,18,32,8,6,6,2,1,15,34,6,4,1,1,1,7,7,1,3,3
"332",901119,39,2,2,4,30000,10,16,30,10,12,8,1,1,12,27,10,5,3,1,7,1,1,1,3,3
"333",901120,39,1,2,4,97000,12,16,32,10,6,7,1,1,16,30,10,7,2,1,6,2,4,2,3,3
"334",901121,38,2,-2,3,17000,12,-2,-2,7,-2,-2,1,1,-4,-2,-2,-2,1,1,5,-3,-3,1,3,3
"335",901123,39,2,-2,3,54300,6,5,9,3,8,4,2,1,14,9,8,3,1,1,4,1,1,1,3,3
"336",901125,39,2,-2,3,40000,4,14,-2,5,12,5,1,1,22,-2,12,7,1,1,-3,-3,-3,1,-3,-3
"337",901126,39,1,2,4,55000,7,10,15,7,12,10,2,1,17,14,9,5,3,1,4,6,6,1,3,3
"338",901128,39,2,-2,3,4000,9,-2,-2,6,-2,-2,1,3,10,-2,-2,-2,5,1,4,4,1,1,3,3
"341",901133,38,2,-2,3,2e+05,8,12,27,5,7,8,2,2,12,23,6,7,3,1,5,5,7,1,-3,-3
"342",901134,39,1,-2,3,31010,5,13,-2,5,6,3,1,1,7,-2,6,3,2,1,4,3,4,1,3,3
"345",901141,39,1,-2,4,35000,9,10,21,8,6,4,2,1,10,19,6,5,1,1,5,4,3,1,3,3
"346",901143,38,1,-2,3,70000,9,-3,-3,9,6,5,1,1,9,6,7,5,1,1,3,4,4,1,3,3
"347",901145,39,2,-2,4,42000,5,10,-2,8,5,6,2,2,7,-2,5,8,1,1,1,7,7,5,-3,-3
"348",901150,39,1,-2,3,51300,11,14,20,11,11,6,1,1,16,28,6,9,1,1,5,3,5,1,3,3
"351",901169,39,1,-2,1,96500,6,7,12,7,8,6,1,2,5,13,5,5,1,1,6,5,4,1,2,1
"352",901176,39,1,2,3,72300,10,-2,-2,7,-2,-2,1,1,12,-2,-2,-2,3,3,5,3,3,4,3,3
"353",901178,39,2,-2,3,69750,4,16,-2,3,6,6,1,1,12,-2,5,3,3,4,6,1,1,1,2,2
"355",901192,39,2,-2,3,55000,4,16,22,5,11,6,2,1,18,28,11,7,1,1,3,5,3,1,1,1
"356",901198,39,1,-2,4,115000,14,-2,-2,-4,-2,-2,1,1,-3,-2,-2,-2,1,1,4,4,4,5,3,3
"360",901213,39,1,2,3,125200,11,-2,-2,4,-2,-2,1,1,20,-2,-2,-2,1,2,2,6,5,5,3,3
"361",901217,39,2,-2,3,33000,8,14,19,7,10,5,2,1,11,20,12,6,1,1,4,5,5,1,3,3
"362",901218,39,2,-2,4,41588,8,15,-2,8,8,5,1,1,11,-2,6,6,1,1,7,7,7,1,3,3
"363",901223,38,1,-2,3,40600,3,12,-2,3,10,6,1,1,11,-2,12,5,1,1,3,6,5,1,2,1
"366",901227,39,2,-2,3,1e+05,7,-4,-4,-4,11,5,2,1,-4,16,5,6,3,1,7,1,7,1,1,1
"367",901228,39,1,4,3,100200,9,13,-2,10,9,7,2,1,12,-2,10,7,3,1,4,3,3,1,3,3
"370",901231,39,1,3,-3,78000,8,12,23,10,6,6,1,1,15,25,10,8,2,1,5,4,2,1,3,3
"371",901233,39,2,-2,4,55200,6,-2,-2,5,-2,-2,1,1,10,-2,-2,-2,1,1,3,3,3,1,3,3
"372",901238,39,2,-2,3,61500,3,8,19,3,4,9,1,1,7,-4,6,5,1,2,6,4,4,1,3,3
"373",901241,39,1,3,3,79000,9,6,24,6,6,7,1,1,4,17,6,6,1,1,6,3,1,3,3,3
"374",901243,39,1,-2,3,60000,9,-2,-2,8,-2,-2,1,1,13,-2,-2,-2,1,1,1,7,7,1,3,3
"375",901244,38,2,-2,4,35300,6,9,-2,8,7,3,1,1,9,-2,11,4,1,1,2,7,6,1,3,3
"379",901251,39,1,3,3,86000,9,-2,-2,5,-2,-2,1,1,17,-2,-2,-2,3,1,2,5,2,1,2,2
"381",901256,37,1,-2,3,52300,8,13,-2,4,12,4,1,1,12,-2,7,5,1,1,2,6,6,1,3,3
"382",901261,39,1,-2,4,64000,6,4,12,8,8,4,1,1,7,11,9,5,1,1,1,7,7,1,3,3
"383",901267,39,1,-2,3,23000,7,4,16,7,5,5,1,1,4,20,6,4,1,1,3,6,6,1,2,2
"384",901273,39,1,-2,3,34200,3,12,-2,2,5,7,2,1,11,-2,10,6,2,2,5,4,4,2,3,3
"387",901285,39,2,-2,4,55000,9,11,20,5,0,9,1,1,7,17,6,7,1,1,2,7,7,1,1,1
"390",901295,40,2,-2,3,30000,9,8,-2,10,10,6,1,1,11,-2,7,6,3,1,3,5,5,-3,3,3
"392",901303,39,1,-2,3,45000,7,-2,-2,6,-2,-2,2,1,12,-2,-2,-2,1,1,5,6,7,1,2,2
"398",901317,39,2,-2,3,121000,7,-2,-2,6,-2,-2,1,1,7,-2,-2,-2,1,1,4,7,4,2,2,1
"403",901330,38,2,-2,3,77000,6,10,17,5,9,10,1,1,13,20,1,6,1,1,5,7,7,1,3,3
